,student_id,gender,age,prior_education,course_of_studies,year_of_study,nationality,parent_one_nationality,parent_two_nationality,parent_one_occupation,parent_two_occupation,previous_international_experience,languages
0,10000000,I would rather not say,18,VWO,International business,2,Korean,Japanese,Korean,Taxi driver,Politician,,"['English', 'Korean']"
1,10000001,I would rather not say,24,HAVO,International business,1,South-African,South-African,Spain,Doctor,Life coach,Exchange student,"['Dutch', 'English']"
2,10000002,I would rather not say,18,Gymnasium,International business,4,Japanese,Spain,Korean,Life coach,Marine,Internship in a foreign country,"['English', 'Japanese']"
3,10000003,Male,21,VWO,International business,2,USA,USA,Spain,Doctor,Gardener,Gap year,"['English', 'Spanish']"
4,10000004,I would rather not say,19,MBO,International business,3,Chinese,Korean,Japanese,Engineer,Politician,,"['English', 'Mandarin']"
5,10000005,Female,24,VWO,International business,0,South-African,Belgium,British,Gardener,Taxi driver,Worked in a foreign country,"['Dutch', 'English']"
6,10000006,I would rather not say,17,VWO,International business,2,Chinese,Korean,British,Engineer,Doctor,Internship in a foreign country,"['English', 'Mandarin']"
7,10000007,I would rather not say,23,HAVO,International business,4,USA,Spain,Dutch,Gardener,Engineer,Internship in a foreign country,['English']
8,10000008,I would rather not say,23,Gymnasium,International business,0,German,Dutch,Japanese,Engineer,Engineer,Internship in a foreign country,"['English', 'German']"
9,10000009,I would rather not say,24,VWO,International business,4,Dutch,Spain,Chinese,Doctor,Engineer,Gap year,"['Dutch', 'English', 'German']"
10,10000010,I would rather not say,24,Gymnasium,International business,3,Belgium,German,Belgium,Marine,,Internship in a foreign country,"['English', 'French']"
11,10000011,I would rather not say,21,VWO,International business,1,USA,Japanese,Korean,Marine,Gardener,Exchange student,['English']
12,10000012,I would rather not say,22,HAVO,International business,1,German,Japanese,British,Engineer,Life coach,Gap year,"['English', 'German']"
13,10000013,I would rather not say,22,VWO,International business,1,USA,Korean,Dutch,Doctor,Gardener,Worked in a foreign country,"['English', 'Spanish']"
14,10000014,I would rather not say,22,HAVO,International business,1,Japanese,Dutch,Korean,Taxi driver,Engineer,Exchange student,"['English', 'Japanese']"
15,10000015,I would rather not say,21,MBO,International business,2,German,USA,German,,Marine,,"['English', 'German']"
16,10000016,I would rather not say,22,VWO,International business,1,Spain,Korean,South-African,Doctor,Doctor,Internship in a foreign country,"['English', 'Spanish']"
17,10000017,I would rather not say,17,HAVO,International business,1,Dutch,Korean,Japanese,Politician,Taxi driver,Gap year,"['Dutch', 'English', 'German']"
18,10000018,I would rather not say,18,HAVO,International business,2,Dutch,Belgium,Chinese,Doctor,,Internship in a foreign country,"['Dutch', 'English', 'German']"
19,10000019,I would rather not say,22,VWO,International business,0,Japanese,Chinese,German,Gardener,Engineer,Worked in a foreign country,"['English', 'Japanese']"
20,10000020,I would rather not say,18,VWO,International business,1,Dutch,South-African,Japanese,Doctor,Life coach,Internship in a foreign country,"['Dutch', 'English', 'German']"
21,10000021,I would rather not say,21,VWO,International business,4,Dutch,German,Japanese,Doctor,Marine,Worked in a foreign country,"['Dutch', 'English', 'German']"
22,10000022,I would rather not say,23,Gymnasium,International business,2,German,Spain,Japanese,Taxi driver,Politician,Exchange student,"['English', 'German']"
23,10000023,I would rather not say,18,VWO,International business,0,German,Chinese,Japanese,Gardener,Marine,Internship in a foreign country,"['English', 'German']"
24,10000024,I would rather not say,21,MBO,International business,0,Spain,USA,Dutch,,Life coach,Exchange student,"['English', 'Spanish']"
25,10000025,I would rather not say,18,MBO,International business,4,Chinese,Japanese,South-African,Engineer,Doctor,,"['English', 'Mandarin']"
26,10000026,I would rather not say,17,HAVO,International business,1,German,Chinese,Japanese,,,Exchange student,"['English', 'German']"
27,10000027,I would rather not say,20,Gymnasium,International business,1,Korean,Dutch,Dutch,Gardener,Marine,Worked in a foreign country,"['English', 'Korean']"
28,10000028,I would rather not say,23,Gymnasium,International business,0,South-African,USA,Chinese,Life coach,Taxi driver,Internship in a foreign country,"['Dutch', 'English']"
29,10000029,I would rather not say,18,HAVO,International business,2,Korean,Chinese,South-African,Engineer,Doctor,,"['English', 'Korean']"
30,10000030,I would rather not say,22,HAVO,International business,4,Belgium,Dutch,USA,Engineer,Engineer,Exchange student,"['English', 'English', 'French']"
31,10000031,I would rather not say,19,Gymnasium,International business,3,Dutch,Chinese,German,Taxi driver,Taxi driver,Worked in a foreign country,"['Dutch', 'English', 'German']"
32,10000032,I would rather not say,24,MBO,International business,1,Korean,British,Belgium,Doctor,Taxi driver,Exchange student,"['English', 'Korean']"
33,10000033,I would rather not say,21,Gymnasium,International business,0,Korean,Japanese,South-African,Gardener,Doctor,Exchange student,"['English', 'Korean']"
34,10000034,Male,22,VWO,International business,3,Belgium,Korean,USA,Taxi driver,Taxi driver,Gap year,"['English', 'English']"
35,10000035,I would rather not say,20,VWO,International business,4,Japanese,USA,Dutch,Taxi driver,Engineer,Exchange student,"['English', 'Japanese']"
36,10000036,I would rather not say,23,MBO,International business,3,Japanese,Chinese,South-African,Engineer,Marine,Internship in a foreign country,"['English', 'Japanese']"
